Field=Category~String~Category~88|Field=Comment~String~Comment~135|Field=Description~String~Description~138|Field=Designator~String~Designator~103|Field=Manufacturer~String~Manufacturer~57|Field=Manufacturer Part Number~String~Manufacturer Part Number~57|Field=Quantity~Integer~Quantity~60|Field=Value~String~Value~57|Field=Voltage~String~Voltage~55|Field=DocumentName~String~DocumentName~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=Package~String~Package~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|Field=Title~String~Title~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ST-LinkV2.PrjPCB|ReportField=ProjectFullPath~D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|ReportField=Title~BOM For Project [ST-LinkV2.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~45|ReportField=ReportTime~13:42:06|ReportField=ReportDate~19.02.2015|ReportField=ReportDateTime~19.02.2015 13:42:06|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~Altium Limited|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ST-LinkV2.PrjPCB|ReportField=DataSourceFullPath~D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB
Resistors|22R|Resistor 22R SMD 0603|R1|||1|22R|||R1|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R2|||1|22R|||R2|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|10R|Resistor 10R SMD 0603|R3|||1|10R|||R3|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R4|||1|22R|||R4|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R5|||1|22R|||R5|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R6|||1|22R|||R6|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R7|||1|22R|||R7|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R8|||1|22R|||R8|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R9|||1|22R|||R9|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R10|||1|22R|||R10|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
Resistors|22R|Resistor 22R SMD 0603|R11|||1|22R|||R11|SMD 0603|St-LinkV2|D:\3. Схемы\Личные проекты\STLinkV2\ST-LinkV2.PrjPCB|
